pickup_date,total_passengers,total_revenue
2002-12-31,1,10.5
2009-01-01,4,127.69
2023-12-31,19,224.62
2024-01-01,107466,2155534.84
2024-01-02,102550,2228197.76
2024-01-03,109489,2308511.37
2024-01-04,134209,2731608.39
2024-01-05,135477,2648628.63
2024-01-06,132212,2322172.14
2024-01-07,91286,1845539.91
2024-01-08,99579,2162897.5
2024-01-09,108925,2196479.29
2024-01-10,115521,2467622.61
2024-01-11,129420,2811318.99
2024-01-12,132819,2744448.71
2024-01-13,142518,2532393.36
2024-01-14,126422,2334639.49
2024-01-15,99973,2089636.31
2024-01-16,110456,2488385.78
2024-01-17,129806,2769208.45
2024-01-18,131703,2791491.31
2024-01-19,121242,2378120.15
2024-01-20,141001,2407340.57
2024-01-21,108250,2143782.35
2024-01-22,103160,2284918.44
2024-01-23,119377,2532537.99
2024-01-24,126566,2694648.45
2024-01-25,131633,2869291.61
2024-01-26,132946,2701452.44
2024-01-27,148136,2603774.48
2024-01-28,116919,2263536.65
2024-01-29,102500,2272813.02
2024-01-30,121492,2557608.53
2024-01-31,121807,2595838.13
2024-02-01,7,90.47
